name,geog,lung_cancer_rate_per100k
"Black Hawk County, Iowa",19013,73.6
"Todd County, South Dakota",46121,73.6
"Wetzel County, West Virginia",54103,73.6
"Shelby County, Kentucky",21211,73.6
"Iberville Parish, Louisiana",22047,73.6
"Choctaw County, Oklahoma",40023,73.6
"Androscoggin County, Maine",23001,73.6
"Randolph County, Alabama",01111,73.5
"Pamlico County, North Carolina",37137,73.5
"St. Lawrence County, New York",36089,73.5
"Van Buren County, Tennessee",47175,73.5
"Fayette County, Illinois",17051,73.4
"Allegany County, Maryland",24001,73.4
"Gratiot County, Michigan",26057,73.4
"Baylor County, Texas",48023,73.4
"Lawrence County, Illinois",17101,73.4
"St. Louis City, Missouri",29510,73.4
"Henry County, Tennessee",47079,73.4
"St. Francis County, Arkansas",05123,73.3
"Franklin County, Kentucky",21073,73.3
"Cannon County, Tennessee",47015,73.3
"Monroe County, Georgia",13207,73.3
"Boone County, Kentucky",21015,73.3
"Hancock County, Mississippi",28045,73.2
"Crawford County, Georgia",13079,73.2
"Kanawha County, West Virginia",54039,73.2
"Madison County, Ohio",39097,73.1
"St. Clair County, Alabama",01115,73.1
"Jefferson County, Kentucky",21111,73.1
"Cleveland County, North Carolina",37045,73
"Newaygo County, Michigan",26123,73
"Alamance County, North Carolina",37001,73
"Thurston County, Nebraska",31173,73
"Pottawattamie County, Iowa",19155,72.9
"Montgomery County, Tennessee",47125,72.9
"Hickory County, Missouri",29085,72.9
"Nicholas County, Kentucky",21181,72.9
"Laurens County, South Carolina",45059,72.8
"Warren County, Kentucky",21227,72.8
"Niagara County, New York",36063,72.8
"Granville County, North Carolina",37077,72.8
"Cooke County, Texas",48097,72.8
"Jackson County, Alabama",01071,72.7
"Thomas County, Georgia",13275,72.7
"Dodge County, Georgia",13091,72.6
"Taylor County, Georgia",13269,72.6
"Hernando County, Florida",12053,72.5
"Henderson County, Kentucky",21101,72.5
"Morrow County, Ohio",39117,72.4
"Wayne County, New York",36117,72.4
"Jefferson Davis County, Mississippi",28065,72.4
"Putnam County, Missouri",29171,72.4
"Cleburne County, Arkansas",05023,72.3
"Floyd County, Georgia",13115,72.3
"Scott County, Illinois",17171,72.3
"Sunflower County, Mississippi",28133,72.3
"Murray County, Oklahoma",40099,72.3
"Beauregard Parish, Louisiana",22011,72.2
"St. Clair County, Missouri",29185,72.2
"Lamar County, Texas",48277,72.1
"Lapeer County, Michigan",26087,72.1
"Kennebec County, Maine",23011,72.1
"Morris County, Texas",48343,72.1
"St. Landry Parish, Louisiana",22097,72.1
"Washington County, Mississippi",28151,72.1
"Iosco County, Michigan",26069,72.1
"Jackson County, Mississippi",28059,72.1
"Douglas County, Wisconsin",55031,72
"Hampshire County, West Virginia",54027,72
"Liberty County, Georgia",13179,72
"Bowie County, Texas",48037,71.9
"Brule County, South Dakota",46015,71.9
"Doddridge County, West Virginia",54017,71.9
